order_id,product_id,add_to_cart_order,reordered
3109255,34099,16,0
301098,41950,5,0
1181866,45066,8,0
1678630,8859,2,1
644090,24781,2,0
557169,11440,19,1
737337,13176,7,1
1389978,12033,3,1
443457,19190,13,1
1649178,30169,4,1
2200652,38890,2,1
1149773,39561,46,1
2196443,47011,10,0
825525,42615,11,0
1152463,31555,5,1
1017343,47196,4,0
2672875,4605,4,1
1893069,6187,11,0
1411821,37220,12,1
1398417,22802,1,0
2178421,27454,6,1
357043,36431,25,1
3013261,32684,4,1
2262426,16797,4,1
627333,6873,1,0
2942867,13515,11,0
739587,45854,7,0
2694757,23909,4,0
3268636,19057,9,1
2218827,39928,6,1
820578,2086,4,1
1881664,47626,10,1
693424,23452,1,1
18254,35921,2,1
452168,48775,6,1
2693281,23400,8,0
775615,258,5,1
2682376,48857,2,1
1720496,27845,1,1
2369662,19678,4,1
2715127,43504,44,1
1793502,7228,5,0
101436,24852,8,1
2209160,44449,3,1
2298282,9472,36,1
1475624,27925,2,0
366058,24746,2,1
2105193,10132,18,1
2572049,29256,14,1
1600484,16797,11,1
255571,41950,6,1
359657,43789,10,1
1329558,41079,11,1
2631670,19660,4,1
2846731,49683,25,1
3033867,41844,13,0
817815,41149,4,0
2832188,30599,39,1
548930,19057,23,1
523460,12260,6,0
3208288,36214,8,1
2435141,23634,21,0
939321,23405,37,1
2075210,29993,6,0
2696691,730,23,0
1787134,2326,16,0
1269354,21461,5,1
2677941,14647,14,0
2737770,19863,1,0
1884890,35221,6,1
2669406,33527,15,0
552573,48600,19,1
1350324,23879,6,1
1336986,13338,5,0
1862280,32052,33,0
1334642,23165,11,1
2822779,24852,1,1
630425,16797,23,1
2892101,9955,4,1
2095493,40593,10,0
1042602,12792,6,1
357219,35939,8,0
982272,21137,13,0
2201739,29079,17,0
792596,19261,1,1
2165909,5679,14,1
399774,11408,3,0
1311866,18641,15,1
3276518,11159,4,1
377673,5923,2,0
330650,39877,6,1
1211944,49113,6,1
2438300,10895,4,1
2292648,34943,12,0
2023441,44359,6,0
590740,44661,2,1
2312043,39275,14,1
679792,38342,15,0
1743216,24852,6,1
1389353,4210,6,1
